"state_fips","state_usps","county_fips","county_name","cwa","time_zone","feature_area","latitude","longitude"
"37","NC","177","Tyrrell","MHX","E","ee",35.8161393052,-76.211817203
"37","NC","179","Union","GSP","E","pd",34.9883892602,-80.5307314105
"37","NC","181","Vance","RAH","E","cc",36.3647857503,-78.4083282436
"37","NC","183","Wake","RAH","E","cc",35.7900895875,-78.6503745237
"37","NC","185","Warren","RAH","E","cc",36.3965715251,-78.1068764946
"37","NC","187","Washington","MHX","E","ee",35.8220688664,-76.576666712
"37","NC","189","Watauga","RNK","E","nw",36.2312845518,-81.6969149613
"37","NC","191","Wayne","RAH","E","cc",35.3638361005,-78.0040385376
"37","NC","193","Wilkes","RNK","E","nw",36.2065345935,-81.1638479754
"37","NC","195","Wilson","RAH","E","cc",35.7048389598,-77.9184696463
"37","NC","197","Yadkin","RNK","E","nw",36.1605288074,-80.6653467672
"37","NC","199","Yancey","GSP","E","ww",35.8988874899,-82.3075684426
"38","ND","001","Adams","BIS","M","sw",46.0968696919,-102.528493589
"38","ND","003","Barnes","FGF","C","se",46.9361215955,-98.0715985567
"38","ND","005","Benson","FGF","C","ne",48.0694170709,-99.3659570368
"38","ND","007","Billings","BIS","M","sw",47.0234525469,-103.376442303
"38","ND","009","Bottineau","BIS","C","nc",48.7921140266,-100.833524916
"38","ND","011","Bowman","BIS","M","sw",46.1126102177,-103.520691644
"38","ND","013","Burke","BIS","C","nw",48.7909387613,-102.518266145
"38","ND","015","Burleigh","BIS","C","sc",46.9773557592,-100.468786164
"38","ND","017","Cass","FGF","C","se",46.9329891429,-97.2480572472
"38","ND","019","Cavalier","FGF","C","ne",48.7721650271,-98.4649941257
"38","ND","021","Dickey","BIS","C","se",46.1101676175,-98.5045542833
"38","ND","023","Divide","BIS","C","nw",48.8148707766,-103.487299657
"38","ND","025","Dunn","BIS","CM","sw",47.3567547274,-102.618247105
"38","ND","027","Eddy","FGF","C","ne",47.7175524151,-98.9015584525
"38","ND","029","Emmons","BIS","C","sc",46.2850583828,-100.238833271
"38","ND","031","Foster","BIS","C","se",47.4570828192,-98.8830894924
"38","ND","033","Golden Valley","BIS","M","sw",46.9402387473,-103.846696498
"38","ND","035","Grand Forks","FGF","C","ne",47.9219216057,-97.457001756
"38","ND","037","Grant","BIS","M","sc",46.3583133592,-101.639670829
"38","ND","039","Griggs","FGF","C","se",47.4572242422,-98.2370929602
"38","ND","041","Hettinger","BIS","M","sw",46.4325520509,-102.460360428
"38","ND","043","Kidder","BIS","C","sc",46.9801703417,-99.7801142842
"38","ND","045","LaMoure","BIS","C","se",46.4568924953,-98.535466607
"38","ND","047","Logan","BIS","C","se",46.4573679615,-99.4775096453
"38","ND","049","McHenry","BIS","C","nc",48.2346010198,-100.636284718
"38","ND","051","McIntosh","BIS","C","se",46.1118715806,-99.441208588
"38","ND","053","McKenzie","BIS","CM","nw",47.7401669624,-103.395283636
"38","ND","055","McLean","BIS","C","sc",47.6069930179,-101.321844572
"38","ND","057","Mercer","BIS","C","sc",47.3092323816,-101.831484709
"38","ND","059","Morton","BIS","C","sc",46.7160531312,-101.281082901
"38","ND","061","Mountrail","BIS","C","nw",48.20125208,-102.355639
"38","ND","063","Nelson","FGF","C","ne",47.9216203457,-98.1921348325
"38","ND","065","Oliver","BIS","C","sc",47.1152853069,-101.340342253
"38","ND","067","Pembina","FGF","C","ne",48.7672037425,-97.55172408
"38","ND","069","Pierce","BIS","C","nc",48.2496314052,-99.9718247036
"38","ND","071","Ramsey","FGF","C","ne",48.2689509127,-98.7201441371
"38","ND","073","Ransom","FGF","C","se",46.456138311,-97.6574614418
